Code,Level,Description,ISIC code
46471,5,Wholesale of paper and paper products,4649
46472,5,Wholesale of packaging materials,4649
46473,5,Wholesale of stationery,4649
46474,5,Wholesale of books and magazines,4649
46479,5,"Wholesale of paper, paper and cellophane products and stationery n.e.c.",4649
46491,5,Wholesale of optical equipment and supplies (excluding binoculars),4649
46492,5,Wholesale of photographic equipment and supplies (including binoculars),4649
46499,5,Wholesale of other household goods n.e.c.,4649
46499,5,Wholesale of other household goods n.e.c.,4669
46511,5,Wholesale of computer hardware and peripheral equipment (except cybersecurity related hardware and peripheral equipment),4651
46512,5,Wholesale of computer software (except games and cybersecurity software),4651
46513,5,"Wholesale of computer accessories (e.g. memory cards, computer cables)",4651
46514,5,"Wholesale of cybersecurity software, hardware and peripheral equipment",4651
46521,5,Wholesale of telecommunications equipment (excluding handphones),4652
46522,5,Wholesale of electronic components,4652
46523,5,"Wholesale of handphones, handphone peripheral equipment and other telecommunications equipment",4652
46530,5,"Wholesale of agricultural machinery, equipment and supplies",4653
46541,5,Wholesale of industrial machinery and equipment (e.g. industrial crane),4659
46542,5,Wholesale of construction equipment (e.g. concrete mixer),4659
46543,5,"Wholesale of lifts, escalators and industrial and office air-conditioning equipment",4659
46544,5,Wholesale of electrical and wiring accessories,4659
46549,5,"Wholesale of industrial, construction and related machinery and equipment n.e.c.",4659
46551,5,Wholesale of marine equipment and accessories (including marine navigational equipment and radar),4659
46552,5,Wholesale of aircraft equipment and supplies (including aeronautical equipment),4659
46559,5,Wholesale of transport equipment except motor vehicles and motorcycles n.e.c.,4659
46561,5,Wholesale of motor vehicles except motorcycles and scooters,4510
46562,5,Wholesale of motorcycles and scooters,4540
46563,5,Wholesale of parts and accessories for vehicles,4530
46591,5,Wholesale of office machines and equipment (including accessories),4659
46592,5,"Wholesale of medical, professional, scientific and precision equipment",4659
46593,5,Wholesale of commercial food service equipment (e.g. hotel kitchen equipment),4659
46594,5,Wholesale of service establishment equipment and supplies (e.g. beauty salon equipment),4659
46595,5,Wholesale of security and safety equipment,4659
46599,5,Wholesale of other machinery and equipment n.e.c.,4659
46610,5,Wholesale of fuels and related products,4661
46620,5,Wholesale of metals and metal ores (e.g. steel pipes) except general hardware,4662
46631,5,"Wholesale of logs, sawn timber, plywood and related products",4663
46632,5,"Wholesale of general hardware (e.g. locks, hinges)",4663
46633,5,"Wholesale of structural clay and concrete products (e.g. mosaic tiles, bricks)",4663
46634,5,Wholesale of paints (including varnishes and supplies),4663
46635,5,Wholesale of glass,4663
46639,5,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies n.e.c. (e.g. cement, sand)",4663
46641,5,Wholesale of basic industrial chemicals (except fertilisers),4669
46642,5,Wholesale of chemical fertilisers,4669
46643,5,Wholesale of petrochemical products,4669
46649,5,Wholesale of chemicals and chemical products n.e.c.,4669
46651,5,"Wholesale of scrap, junk and waste dealers",4669
46659,5,"Wholesale of other intermediate products, waste and scrap n.e.c.",4669
46661,5,Ship chandlers,4669
46662,5,Ship bunkering,4669
46900,5,Wholesale trade of a variety of goods without a dominant product,4690
47101,5,Supermarkets and hypermarkets,4711
47101,5,Supermarkets and hypermarkets,4719
47101,5,Supermarkets and hypermarkets,4791
47101,5,Supermarkets and hypermarkets,4799
47102,5,"Mini-marts, convenience stores and provision shops",4711
47102,5,"Mini-marts, convenience stores and provision shops",4791
